Sr. No.,Emp. Code,Emp. Tags,Employee Name,Employee Number,To Name,Country Code,To Number,Call Type,Duration,Call Date,Call Time,Notes,Unique customer Id,Incoming Calls,Incoming Duration,Outgoing Calls,Outgoing Duration,Missed,Rejected,Connected Calls,Never Attended,Call Status,Purpose of Call,Region,Customer Feedback,Department,Follow-Up Required
4531.0,,New York,,+918888800004,Omar Morgan,+261,(934)420-8796,Outgoing,10 mins 20 secs,2024-06-15,10:15 AM,Ago page truth necessary.,CUST4531,4.0,12 mins 164 secs,2.0,,,2.0,1.0,,Failed,Sales,,,,Yes
4532.0,FB003,Pune,Shubhangi,+918888800003,Theresa Anderson,+373,+1-850-545-9821x7319,Outgoing,6 mins 1 secs,2022-06-28,03:31 AM,,CUST4532,2.0,38 mins 76 secs,5.0,100 mins 30 secs,0.0,2.0,1.0,6.0,No Answer,Support,Europe,,Sales,
4533.0,FB008,,Steve,+918888800004,Kenneth Kelley,+683,001-879-412-4381x7306,Incoming,,2021-01-18,03:06 AM,Rich bring necessary right raise.,CUST4533,0.0,0 mins 0 secs,0.0,,1.0,2.0,0.0,0.0,Busy,Feedback,,Neutral,Support,Yes
4534.0,FB002,Mumbai,Ankur Garde,+918888800002,Tonya House,+249,4842474446,Outgoing,16 mins 25 secs,2022-08-07,05:25 AM,She mother year simply suffer.,CUST4534,2.0,32 mins 116 secs,,0 mins 0 secs,1.0,0.0,2.0,0.0,Busy,Feedback,Africa,Satisfied,,Yes
4535.0,FB015,,Rachel,+918888800005,James Good,+39,+1-216-873-4216,Incoming,9 mins 24 secs,2020-11-14,11:01 AM,Right positive all.,CUST4535,2.0,,3.0,6 mins 141 secs,0.0,2.0,2.0,3.0,Busy,Follow-up,,Dissatisfied,Sales,Yes
4536.0,FB008,New York,Steve,+918888800004,Erika Ramos,+880,+1-981-623-0598,Outgoing,,,,,CUST4536,1.0,,4.0,20 mins 8 secs,1.0,0.0,,3.0,Busy,Support,,Neutral,Support,
4537.0,FB015,,Rachel,+918888800005,Rebecca Fuller,+883,846-344-5471,Incoming,7 mins 7 secs,,05:32 PM,Money both store relationship.,CUST4537,5.0,40 mins 75 secs,,,1.0,0.0,4.0,1.0,,Support,Africa,Dissatisfied,Sales,Yes
4538.0,,,Shubhangi,,Kristen Nichols,+596,001-726-909-8356,Outgoing,11 mins 22 secs,2024-06-26,10:57 PM,Put question three whole street community.,CUST4538,0.0,0 mins 0 secs,5.0,5 mins 245 secs,,2.0,5.0,0.0,Busy,Follow-up,,Neutral,Sales,Yes
,FB002,Mumbai,Ankur Garde,+918888800002,,+1 869,384.420.1426x7325,Outgoing,9 mins 55 secs,,05:27 AM,Interview mission treat black.,,2.0,,,32 mins 20 secs,1.0,2.0,2.0,2.0,No Answer,Sales,,Dissatisfied,,Yes
4540.0,FB002,Mumbai,Ankur Garde,+918888800002,Bryan White,+60,(990)222-4581x7212,,1 mins 31 secs,2023-10-20,08:57 AM,Station even move condition.,CUST4540,1.0,7 mins 27 secs,2.0,2 mins 104 secs,0.0,1.0,,0.0,Busy,Follow-up,Africa,Neutral,Support,Yes
,FB001,Nagpur,Aniruddha Kalbande,+918888800001,Kevin Harris,+64,968.634.7111x67559,,,,01:46 AM,Dream hold summer role only.,,4.0,76 mins 196 secs,5.0,,2.0,1.0,2.0,7.0,,,Africa,Satisfied,,No
4542.0,FB015,New York,Rachel,+918888800005,Debra Lewis,+591,780.463.0372,Outgoing,16 mins 17 secs,2022-02-16,11:29 PM,May course or administration national.,CUST4542,5.0,45 mins 295 secs,4.0,80 mins 20 secs,2.0,2.0,,,No Answer,Support,Australia,Dissatisfied,Sales,
4543.0,,,Rachel,+918888800005,Matthew Valencia,+1 809,505.510.0301,Outgoing,15 mins 8 secs,2021-09-08,,Garden couple rise activity read between.,,0.0,0 mins 0 secs,3.0,48 mins 54 secs,,2.0,3.0,,Busy,Inquiry,Australia,Satisfied,Sales,
4544.0,FB008,New York,,+918888800004,,,+1-282-407-4194x178,,16 mins 30 secs,,02:48 PM,Past expert better research option.,CUST4544,0.0,,5.0,55 mins 195 secs,,2.0,3.0,2.0,No Answer,Feedback,Australia,Dissatisfied,Support,No
4545.0,FB003,Pune,Shubhangi,,Stephanie Galloway,+1,680.436.9547x5835,Outgoing,13 mins 52 secs,,08:30 PM,Necessary size themselves year technology.,,1.0,11 mins 44 secs,2.0,,1.0,0.0,,3.0,Busy,Inquiry,Africa,Satisfied,,Yes
4546.0,,Pune,Shubhangi,,Ashley Thompson,+44 7911,,,20 mins 22 secs,2021-05-13,03:01 AM,Series black practice experience practice.,CUST4546,5.0,100 mins 235 secs,0.0,0 mins 0 secs,2.0,2.0,1.0,4.0,Busy,Follow-up,Australia,,Sales,
4547.0,FB015,New York,Rachel,+918888800005,Alexandra Ortiz,,5783817699,Outgoing,19 mins 27 secs,2020-12-07,07:05 PM,,CUST4547,3.0,60 mins 135 secs,1.0,,,2.0,4.0,0.0,No Answer,Feedback,Asia,Satisfied,Sales,Yes
4548.0,FB008,New York,Steve,,,+674,474.712.3755x74963,Incoming,7 mins 31 secs,2022-12-17,08:58 AM,History its item down.,CUST4548,2.0,26 mins 22 secs,4.0,60 mins 232 secs,0.0,0.0,2.0,4.0,Failed,,Europe,,Support,No
4549.0,FB008,New York,Steve,,Joseph Wallace,+252,001-816-355-1852x4233,Incoming,,2024-05-21,02:33 AM,Should still keep begin community foreign product.,,2.0,,5.0,,0.0,1.0,1.0,,,Support,,,Support,
4550.0,FB015,New York,,+918888800005,Dawn Wilson,,722.516.4427x7212,,17 mins 53 secs,2022-12-29,07:02 PM,Right star amount stage above student million.,CUST4550,4.0,32 mins 236 secs,,15 mins 132 secs,0.0,,7.0,0.0,Failed,Inquiry,North America,Dissatisfied,Sales,Yes
4551.0,FB015,New York,,+918888800005,Sarah Larsen,+882 13,,Incoming,16 mins 58 secs,2022-04-02,07:39 PM,Capital reason experience thus.,CUST4551,0.0,0 mins 0 secs,0.0,0 mins 0 secs,0.0,2.0,0.0,,Failed,Support,,Neutral,Sales,No
4552.0,FB003,Pune,,+918888800003,,+800,,Outgoing,2 mins 42 secs,2022-08-16,,Statement final protect senior exist.,CUST4552,1.0,,0.0,0 mins 0 secs,0.0,1.0,0.0,1.0,Failed,Follow-up,North America,Satisfied,,Yes
4553.0,FB001,,Aniruddha Kalbande,+918888800001,,+599 9,750-501-2953x2653,Outgoing,10 mins 2 secs,2023-01-16,03:57 AM,Four common alone from identify firm affect.,CUST4553,4.0,48 mins 128 secs,1.0,12 mins 37 secs,0.0,0.0,,,Busy,,,Neutral,Sales,Yes
4554.0,FB003,Pune,Shubhangi,+918888800003,Mary Phillips,+1,,Incoming,16 mins 52 secs,2021-01-05,,East small interest hit.,,4.0,44 mins 160 secs,5.0,75 mins 165 secs,,2.0,4.0,5.0,Completed,Support,Europe,Neutral,Sales,
4555.0,FB003,Pune,,,Erik Smith,+61 89164,001-843-440-1998,,11 mins 28 secs,2022-01-27,,Tv maintain put small prepare game.,,,50 mins 140 secs,,0 mins 0 secs,1.0,2.0,,4.0,Completed,Support,Africa,Dissatisfied,Sales,Yes
,FB003,Pune,Shubhangi,,,+886,,Incoming,1 mins 16 secs,2022-10-27,01:20 PM,Side hear teacher matter.,CUST4556,3.0,6 mins 18 secs,4.0,48 mins 36 secs,1.0,1.0,2.0,5.0,Completed,Support,Asia,Satisfied,Sales,Yes
4557.0,FB003,Pune,,+918888800003,,,509.532.5240x8474,,12 mins 51 secs,2020-09-28,11:11 PM,,CUST4557,4.0,8 mins 212 secs,5.0,100 mins 5 secs,0.0,,5.0,4.0,Busy,,Australia,,Sales,Yes
,FB015,New York,Rachel,+918888800005,Courtney Reed,+591,652-877-1224x645,Incoming,6 mins 24 secs,2023-09-16,,Mind yes both people event suggest.,CUST4558,2.0,26 mins 70 secs,,72 mins 4 secs,0.0,,,1.0,Busy,,Africa,Dissatisfied,Sales,Yes
4559.0,,Mumbai,Ankur Garde,+918888800002,Sandra Kelly DVM,+376,001-278-774-4626,Incoming,14 mins 54 secs,,11:58 PM,Whom consumer find usually money above discuss.,,,21 mins 105 secs,4.0,20 mins 76 secs,0.0,2.0,0.0,7.0,,Support,Australia,Neutral,Support,No
4560.0,FB015,,Rachel,+918888800005,,+47,847-386-6330x041,Outgoing,19 mins 30 secs,2023-04-22,,Admit eat my read.,CUST4560,,12 mins 110 secs,1.0,12 mins 30 secs,1.0,1.0,2.0,1.0,Failed,Inquiry,Europe,Dissatisfied,Sales,Yes
4561.0,FB008,New York,Steve,+918888800004,Ronald Valdez,,,Incoming,11 mins 57 secs,2022-12-14,12:15 PM,Yes nor half action pick speech term east.,CUST4561,0.0,0 mins 0 secs,3.0,48 mins 9 secs,2.0,2.0,3.0,0.0,,Sales,Europe,Dissatisfied,Support,No
4562.0,FB015,New York,Rachel,+918888800005,Donald Torres,,(401)630-9414x36773,Outgoing,4 mins 45 secs,2021-08-17,06:38 PM,Expect miss part phone and.,CUST4562,2.0,20 mins 48 secs,5.0,35 mins 155 secs,1.0,1.0,1.0,6.0,,Support,Asia,,,No
4563.0,,Pune,Shubhangi,+918888800003,Sandra Lee,+44 7624,001-722-524-1821x188,Outgoing,6 mins 52 secs,,07:04 PM,Shake government tell already class newspaper themselves seven.,,,51 mins 81 secs,5.0,80 mins 120 secs,0.0,2.0,2.0,6.0,Failed,Inquiry,Africa,Dissatisfied,Sales,Yes
4564.0,FB003,,Shubhangi,+918888800003,Susan Trujillo,+299,,,17 mins 8 secs,2023-08-05,06:58 AM,Improve word parent dark third quite.,,,42 mins 69 secs,0.0,0 mins 0 secs,1.0,0.0,1.0,2.0,,Follow-up,Asia,Dissatisfied,Sales,No
,FB015,New York,Rachel,+918888800005,,+672,874.423.3234,,15 mins 38 secs,2022-07-06,11:08 PM,Clear high truth reality.,CUST4565,,0 mins 0 secs,1.0,,2.0,0.0,,,No Answer,,North America,Dissatisfied,Sales,No
,FB008,New York,Steve,+918888800004,Michael Marquez,+965,865-385-7626x50490,Incoming,3 mins 52 secs,2020-09-13,03:04 AM,Eye today summer people fire another.,CUST4566,0.0,0 mins 0 secs,,3 mins 18 secs,2.0,,0.0,,,,,Dissatisfied,Support,Yes
,FB015,New York,Rachel,,Alicia Kelly,+221,8606063251,,3 mins 14 secs,2022-04-14,,Write maintain possible measure marriage federal.,CUST4567,0.0,0 mins 0 secs,3.0,60 mins 153 secs,1.0,1.0,3.0,0.0,Busy,,North America,Neutral,Sales,No
4568.0,,Pune,Shubhangi,+918888800003,Amy Copeland,,547.905.3242x7282,Incoming,20 mins 30 secs,2022-02-22,03:27 PM,,CUST4568,5.0,5 mins 280 secs,5.0,30 mins 280 secs,0.0,0.0,5.0,5.0,,Feedback,Australia,Dissatisfied,Sales,
4569.0,FB003,Pune,Shubhangi,+918888800003,Ronald Adams,+255,480.674.4811x7298,Outgoing,6 mins 14 secs,2024-07-28,02:24 PM,Assume ball cost total develop.,,2.0,40 mins 60 secs,3.0,,1.0,,5.0,0.0,Busy,Follow-up,Africa,,,No
4570.0,FB015,New York,Rachel,+918888800005,Tara Berry,+691,+1-683-555-7341x369,Outgoing,9 mins 54 secs,2023-10-04,10:03 AM,Organization miss set.,CUST4570,3.0,18 mins 168 secs,,39 mins 18 secs,0.0,2.0,3.0,3.0,,Sales,Africa,Neutral,Sales,
4571.0,FB015,New York,Rachel,+918888800005,Nicole Reilly,+1 340,(509)345-4983,Outgoing,11 mins 26 secs,,,Work western everything build later situation.,CUST4571,0.0,,4.0,52 mins 220 secs,0.0,2.0,2.0,2.0,Completed,Follow-up,North America,Dissatisfied,,Yes
4572.0,FB015,New York,Rachel,+918888800005,Anthony Morris,+46,+1-507-348-1626,Outgoing,,2022-12-09,06:24 PM,,CUST4572,1.0,16 mins 31 secs,4.0,68 mins 28 secs,0.0,0.0,1.0,4.0,Busy,Feedback,,,Sales,Yes
,FB015,New York,Rachel,,Emily Lopez,+1 869,001-371-222-3732x5368,Incoming,1 mins 4 secs,2022-03-31,04:17 PM,Course his oil idea career.,,0.0,0 mins 0 secs,3.0,60 mins 30 secs,,0.0,1.0,2.0,,,Asia,Neutral,Sales,Yes
4574.0,FB003,,Shubhangi,+918888800003,Nicole Arnold,+371,297-657-8641x835,Outgoing,2 mins 58 secs,2024-03-21,01:51 PM,Under process record method throw under member American.,CUST4574,0.0,,4.0,36 mins 188 secs,2.0,2.0,,3.0,,Feedback,Europe,Dissatisfied,Sales,No
4575.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,Alison Kidd,+681,211-314-6338x37674,Outgoing,5 mins 4 secs,2021-08-19,02:19 AM,Law my from though wife member development organization.,,2.0,38 mins 0 secs,1.0,15 mins 59 secs,0.0,0.0,3.0,,,Inquiry,North America,Dissatisfied,,No
4576.0,FB001,Nagpur,,+918888800001,Stephanie Anderson,+44 7781,553.354.7717,Outgoing,,2023-07-05,,,,1.0,9 mins 16 secs,5.0,,0.0,0.0,,4.0,Busy,Sales,Africa,Satisfied,,
4577.0,FB015,New York,Rachel,,Lindsey Gutierrez,+255 24,2646568322,Incoming,6 mins 46 secs,,01:41 PM,,CUST4577,5.0,75 mins 55 secs,3.0,,1.0,1.0,,7.0,Completed,Support,Asia,Satisfied,Sales,No
4578.0,,New York,Rachel,,Keith Phillips,,834.641.9913x92216,,16 mins 43 secs,2024-02-21,06:37 PM,Approach young base senior relationship.,CUST4578,,12 mins 114 secs,0.0,,0.0,2.0,2.0,,,,Australia,Dissatisfied,Sales,Yes
,,New York,Rachel,+918888800005,Helen Stone,,279.514.9564,,9 mins 29 secs,2024-05-15,02:22 PM,,CUST4579,0.0,0 mins 0 secs,1.0,12 mins 10 secs,,2.0,1.0,,Busy,Sales,Europe,Dissatisfied,Sales,Yes
4580.0,FB001,Nagpur,,+918888800001,Christine Johnson,+47,(308)625-4425x717,Outgoing,7 mins 57 secs,2024-08-12,,At identify left deal he always.,CUST4580,4.0,4 mins 8 secs,5.0,10 mins 290 secs,,0.0,0.0,9.0,Failed,Feedback,Africa,Neutral,Sales,No
4581.0,,New York,,,Ricardo Moore,+48,+1-243-256-1510,,20 mins 30 secs,2022-05-29,01:11 AM,Animal send energy box under become.,CUST4581,2.0,30 mins 28 secs,2.0,34 mins 44 secs,0.0,2.0,0.0,4.0,Busy,,Australia,,,No
4582.0,FB003,Pune,Shubhangi,+918888800003,Justin Marks DDS,,580-589-9656x42060,,,2023-04-04,05:17 AM,Believe response nation a on cup contain.,CUST4582,4.0,,,40 mins 140 secs,,1.0,0.0,9.0,,,Europe,,Sales,Yes
4583.0,FB001,Nagpur,,+918888800001,Carlos Hansen,,(301)323-4218,Outgoing,,,09:45 PM,Dog else produce whether.,CUST4583,0.0,,5.0,,1.0,1.0,,2.0,Busy,Support,Australia,Satisfied,Sales,
4584.0,FB015,New York,Rachel,+918888800005,Andrea Bailey,+1 441,601.542.6237,,19 mins 47 secs,2022-02-19,01:11 PM,Series surface what all pay far.,,3.0,,,,,2.0,1.0,,No Answer,Inquiry,Africa,,Sales,Yes
4585.0,FB003,,,+918888800003,Kaitlyn James,+32,272-772-4762,,9 mins 32 secs,2022-01-26,03:16 PM,Heavy find son very officer land.,,5.0,30 mins 255 secs,2.0,32 mins 90 secs,0.0,1.0,,,Failed,Feedback,Europe,Neutral,Sales,
4586.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,Kyle Martinez,+856,(209)861-2085,Outgoing,5 mins 53 secs,2023-09-18,05:56 AM,Common safe range skin measure.,,3.0,18 mins 6 secs,,,1.0,0.0,2.0,1.0,Completed,Inquiry,Africa,Dissatisfied,Sales,Yes
,FB008,New York,Steve,+918888800004,Jonathan French,+57,(568)424-6279x89534,,8 mins 28 secs,2020-12-12,01:11 PM,,,2.0,24 mins 2 secs,5.0,,1.0,,5.0,2.0,Busy,,Africa,Satisfied,,Yes
,FB002,,,,Benjamin Gibson,+1 876,595.760.2493x442,Outgoing,3 mins 45 secs,2020-12-14,05:44 AM,,CUST4588,,,2.0,2 mins 72 secs,1.0,2.0,,4.0,No Answer,Follow-up,Africa,Dissatisfied,Support,Yes
4589.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,Joyce Petty,+297,,,11 mins 32 secs,2023-12-13,,Contain often style it new fast prevent.,CUST4589,4.0,80 mins 156 secs,3.0,24 mins 63 secs,0.0,,1.0,,Failed,Sales,,,Sales,Yes
4590.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,William Carter,,001-343-253-5612,,7 mins 7 secs,,03:39 PM,Great article role body.,,3.0,54 mins 147 secs,4.0,68 mins 124 secs,,2.0,,1.0,Completed,Feedback,,Satisfied,Sales,
4591.0,FB008,New York,Steve,,,+1 849,540.683.7590,Incoming,7 mins 8 secs,2022-01-27,06:03 PM,Suffer upon personal us campaign amount.,CUST4591,3.0,21 mins 126 secs,4.0,8 mins 148 secs,2.0,0.0,,1.0,Failed,Sales,Africa,Dissatisfied,,Yes
,FB001,Nagpur,Aniruddha Kalbande,,Amber Gray,,918.777.3292x76127,Incoming,11 mins 47 secs,2021-03-20,,Its lawyer chance or.,CUST4592,3.0,39 mins 90 secs,3.0,,1.0,2.0,5.0,1.0,Busy,Inquiry,Europe,Neutral,Sales,No
4593.0,FB008,New York,,+918888800004,Matthew Smith,,461.222.0408x130,Outgoing,12 mins 29 secs,2020-10-26,06:33 AM,Mouth reduce left make writer north part actually.,CUST4593,5.0,30 mins 30 secs,,0 mins 0 secs,1.0,1.0,4.0,1.0,Failed,,Asia,Satisfied,Support,No
4594.0,FB003,Pune,Shubhangi,+918888800003,Cameron Brown,+423,,Incoming,,2021-12-01,12:40 AM,In agreement sure difference attack.,,5.0,35 mins 25 secs,0.0,,0.0,,4.0,,Busy,Support,Australia,Dissatisfied,Sales,No
4595.0,,New York,Steve,+918888800004,Ricky Brown,,,Outgoing,11 mins 41 secs,2023-05-28,,Measure shoulder effect would tend hair.,CUST4595,4.0,8 mins 52 secs,,39 mins 6 secs,0.0,1.0,2.0,,Busy,Support,North America,Neutral,Support,No
4596.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,Melissa Russell,,3756413163,Outgoing,6 mins 3 secs,2021-06-21,,Than strategy among language simply perform future.,CUST4596,2.0,,3.0,33 mins 87 secs,1.0,0.0,4.0,1.0,Busy,Feedback,Europe,Satisfied,Sales,No
4597.0,FB002,Mumbai,,+918888800002,,+882 13,,Outgoing,10 mins 1 secs,,09:23 PM,Professional require develop.,CUST4597,0.0,0 mins 0 secs,0.0,0 mins 0 secs,,,0.0,0.0,,Support,,Satisfied,Support,Yes
4598.0,FB008,New York,Steve,+918888800004,Catherine Hill,+243,(639)717-1475x64327,Incoming,9 mins 48 secs,2023-02-02,01:39 PM,,CUST4598,4.0,56 mins 64 secs,0.0,0 mins 0 secs,,2.0,,2.0,,Sales,,Neutral,,No
,FB002,Mumbai,Ankur Garde,,Jason Thornton,+681,723-741-3418,Incoming,1 mins 8 secs,2023-01-03,06:08 AM,School yes wife can science alone huge.,,5.0,85 mins 205 secs,1.0,7 mins 38 secs,0.0,1.0,0.0,6.0,,Follow-up,,Dissatisfied,,No
,,Mumbai,Ankur Garde,+918888800002,Travis Hall,+1 264,672.432.3500,Outgoing,14 mins 44 secs,2024-06-06,12:36 PM,Option cover although get.,CUST4600,0.0,0 mins 0 secs,,80 mins 45 secs,2.0,0.0,3.0,2.0,,,Australia,Neutral,,Yes
4601.0,FB003,,Shubhangi,,,,+1-301-451-0113,Incoming,13 mins 3 secs,2023-08-09,10:44 AM,Pay agent key sense and.,CUST4601,3.0,24 mins 3 secs,0.0,0 mins 0 secs,2.0,2.0,1.0,2.0,,,Europe,Satisfied,Sales,Yes
,FB002,Mumbai,Ankur Garde,+918888800002,,+1 787,213-567-1047,Outgoing,7 mins 44 secs,2021-11-01,03:21 PM,Realize action night skin.,CUST4602,,50 mins 235 secs,2.0,24 mins 98 secs,2.0,1.0,2.0,5.0,,,Europe,Dissatisfied,Support,Yes
,FB003,Pune,Shubhangi,+918888800003,Donna Lopez,,953.861.5606x15538,,,2023-10-06,03:08 AM,Fund five give bank toward.,CUST4603,0.0,0 mins 0 secs,5.0,30 mins 70 secs,0.0,1.0,4.0,1.0,No Answer,,Europe,,Sales,No
4604.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,Rachel Davis,+598,001-994-999-4413x8752,,9 mins 5 secs,,10:53 PM,Hard entire floor evening.,CUST4604,4.0,12 mins 236 secs,1.0,8 mins 13 secs,0.0,1.0,5.0,,Failed,Inquiry,Africa,Dissatisfied,Sales,
4605.0,,Pune,Shubhangi,,Lisa Garcia,,685-289-8112x0053,Outgoing,7 mins 2 secs,2023-08-25,09:26 AM,,,4.0,36 mins 136 secs,3.0,60 mins 66 secs,2.0,1.0,,6.0,No Answer,Support,Europe,Neutral,Sales,No
4606.0,FB002,Mumbai,Ankur Garde,+918888800002,Randy Acosta,+881 6,,Incoming,1 mins 8 secs,2022-08-08,06:29 PM,Three best change shake.,CUST4606,1.0,13 mins 42 secs,,3 mins 34 secs,,1.0,,0.0,No Answer,,Africa,Dissatisfied,Support,Yes
4607.0,FB001,Nagpur,,+918888800001,Susan Jones,+351,+1-858-631-4173x302,,1 mins 45 secs,2024-07-27,03:49 PM,Information government simply.,,2.0,8 mins 48 secs,5.0,35 mins 290 secs,2.0,1.0,3.0,4.0,Failed,Follow-up,Asia,Dissatisfied,Sales,Yes
4608.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,Samuel Marquez,+1 264,6212688021,Outgoing,13 mins 1 secs,2024-05-13,06:58 AM,Take bring source garden order understand drug say.,CUST4608,4.0,,4.0,68 mins 16 secs,0.0,,2.0,6.0,Busy,Support,,Dissatisfied,Sales,Yes
4609.0,FB008,,Steve,+918888800004,Jamie Bishop,+500,257.577.7816,Incoming,,2023-12-22,11:45 PM,May kind sing within catch trade land.,CUST4609,4.0,72 mins 116 secs,0.0,,2.0,2.0,2.0,2.0,Busy,Feedback,Europe,Satisfied,,No
4610.0,,Pune,Shubhangi,+918888800003,Roberto Reynolds,+44 28,342-638-8614x28377,Outgoing,4 mins 28 secs,2024-04-28,03:50 AM,,CUST4610,,,5.0,,1.0,,5.0,5.0,No Answer,Feedback,Australia,Satisfied,Sales,No
4611.0,FB008,New York,Steve,+918888800004,,+44 7781,001-612-674-0685x2437,,13 mins 42 secs,2020-09-09,06:36 PM,Pull dog world few yet single back.,CUST4611,5.0,,,72 mins 176 secs,2.0,0.0,,,Busy,Feedback,Europe,Dissatisfied,Support,
,,New York,Rachel,+918888800005,Carrie Gordon,+686,(499)318-6035x462,Incoming,,2022-01-05,09:14 AM,Visit young medical action responsibility measure.,CUST4612,,34 mins 78 secs,,,2.0,0.0,,6.0,,,Australia,Dissatisfied,,Yes
,,New York,,+918888800004,Megan Snyder,+260,493.279.9759,,19 mins 10 secs,2023-07-12,11:01 AM,School leader chair research.,CUST4613,0.0,0 mins 0 secs,0.0,0 mins 0 secs,,0.0,0.0,0.0,Busy,,,Dissatisfied,Support,
4614.0,FB003,Pune,Shubhangi,+918888800003,,+967,914-774-2020x98717,Outgoing,6 mins 41 secs,2024-02-21,,Remain degree industry race cost.,CUST4614,5.0,65 mins 200 secs,5.0,,0.0,,0.0,10.0,Failed,Feedback,,Neutral,Sales,Yes
4615.0,FB003,Pune,Shubhangi,,Trevor Young,,,,5 mins 14 secs,,05:17 AM,Share week sit until win.,CUST4615,0.0,0 mins 0 secs,0.0,0 mins 0 secs,1.0,2.0,0.0,0.0,Busy,Inquiry,Australia,,Sales,Yes
,FB003,Pune,Shubhangi,,Robert Morton,+1 671,539-234-7750x8863,Outgoing,11 mins 41 secs,2020-12-09,01:59 AM,,CUST4616,0.0,0 mins 0 secs,1.0,6 mins 25 secs,2.0,0.0,,0.0,Failed,Follow-up,North America,Neutral,,Yes
4617.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,,+52,,Incoming,7 mins 4 secs,,08:09 AM,Wide various leader quite million.,CUST4617,4.0,,3.0,33 mins 126 secs,1.0,1.0,6.0,1.0,No Answer,Follow-up,Africa,Satisfied,Sales,
,FB015,New York,Rachel,+918888800005,Carrie Garcia,+599 3,,Outgoing,11 mins 19 secs,2022-08-09,06:21 PM,,CUST4618,1.0,16 mins 37 secs,2.0,32 mins 30 secs,1.0,,0.0,3.0,,,Africa,Neutral,Sales,No
4619.0,,New York,Rachel,+918888800005,,+7 7,5639362145,Outgoing,14 mins 50 secs,,12:24 PM,Will must network.,CUST4619,,0 mins 0 secs,3.0,,1.0,1.0,3.0,,,Follow-up,Africa,,Sales,Yes
,,Pune,Shubhangi,+918888800003,Donald Yang,+1 849,,,18 mins 51 secs,2022-08-24,02:09 AM,Either matter day economy.,CUST4620,5.0,75 mins 110 secs,5.0,,2.0,,3.0,7.0,,Inquiry,Europe,Neutral,Sales,Yes
,FB015,,,+918888800005,Amanda Rivera,+994,544.718.8218,Incoming,6 mins 56 secs,2023-07-20,,Room short science letter.,CUST4621,4.0,,4.0,76 mins 112 secs,0.0,0.0,,5.0,Failed,Follow-up,Africa,,Sales,No
,FB003,Pune,Shubhangi,+918888800003,Elizabeth Oliver,+297,001-482-319-2394x439,Outgoing,1 mins 4 secs,2022-04-10,,Sit learn light heart or.,CUST4622,1.0,2 mins 28 secs,1.0,14 mins 21 secs,0.0,0.0,1.0,1.0,Busy,Support,,Satisfied,Sales,
,FB003,Pune,Shubhangi,+918888800003,Carl Vargas,+353,723-981-5474x667,Outgoing,10 mins 4 secs,,10:04 PM,Region move truth program style.,CUST4623,5.0,80 mins 255 secs,0.0,0 mins 0 secs,2.0,2.0,3.0,2.0,Busy,,,Satisfied,Sales,No
4624.0,FB003,Pune,Shubhangi,+918888800003,Edward Long,+44,(512)457-4463x1584,Incoming,8 mins 18 secs,2021-09-10,04:17 PM,,CUST4624,1.0,18 mins 44 secs,2.0,,2.0,1.0,2.0,1.0,Failed,Inquiry,,Neutral,Sales,No
4625.0,FB002,Mumbai,Ankur Garde,,,+1 809,463-722-8568x1772,Incoming,18 mins 9 secs,2024-03-12,06:09 PM,Two coach local style.,CUST4625,1.0,1 mins 37 secs,,,2.0,1.0,1.0,3.0,Completed,Sales,Europe,Satisfied,Support,No
,FB002,Mumbai,Ankur Garde,+918888800002,Sarah Yates,+90 392,,,20 mins 33 secs,2021-06-11,01:13 AM,Serve together Mrs ago near successful sound.,CUST4626,,20 mins 208 secs,0.0,0 mins 0 secs,2.0,2.0,,4.0,No Answer,Inquiry,North America,Neutral,Support,Yes
4627.0,FB008,New York,Steve,+918888800004,Lynn Barker,+246,388.902.8491,,4 mins 35 secs,2021-11-13,03:02 PM,Else choose family sit.,,0.0,,1.0,,1.0,0.0,1.0,0.0,Completed,Follow-up,Asia,Satisfied,Support,Yes
4628.0,FB001,Nagpur,,,Shannon Clark,+262 269,324-955-1955x635,Outgoing,10 mins 47 secs,2023-08-25,,,CUST4628,4.0,52 mins 8 secs,5.0,10 mins 25 secs,0.0,1.0,6.0,3.0,Failed,Inquiry,Australia,Dissatisfied,Sales,Yes
4629.0,FB002,Mumbai,Ankur Garde,+918888800002,,+61 89164,256-678-6303x189,Incoming,11 mins 41 secs,2024-03-20,,,CUST4629,2.0,20 mins 96 secs,3.0,54 mins 123 secs,0.0,2.0,,0.0,Failed,Sales,Europe,Satisfied,Support,Yes
,FB002,Mumbai,Ankur Garde,+918888800002,John Boone,+881 0,283-960-3030x408,Outgoing,7 mins 22 secs,2021-12-07,01:00 AM,Game guy statement run fear push trial.,CUST4630,5.0,90 mins 255 secs,0.0,0 mins 0 secs,1.0,1.0,5.0,0.0,No Answer,Feedback,,Dissatisfied,Support,
